[Wed Oct 15 16:54:02.366771 2014] [mpm_prefork:notice] [pid 1182] AH00163: Apache/2.4.10 (Ubuntu) PHP/5.6.0-1+deb.sury.org~precise+1 configured -- resuming normal operations
[Wed Oct 15 16:54:02.366824 2014] [core:notice] [pid 1182] AH00094: Command line: '/usr/sbin/apache2'
[Wed Oct 15 16:54:22.789840 2014] [:error] [pid 9472] [client 162.234.72.25:61246] No such customer: cus_4xqk6Jz9E9Vr1n, referer: http://thecoinsultants.com/?stripe-market-iframe=true&keepThis=true&pr=BitcoinIntegration&pa=ZGV2ZWxvcGVyOjQ1MCx0ZXN0OjQ1MA=&am=OTAw&height=580&width=400
[Wed Oct 15 17:16:12.203747 2014] [:error] [pid 9472] [client 162.234.72.25:61559] No such customer: cus_4xr5kYXSG2a76Y, referer: http://thecoinsultants.com/?stripe-market-iframe=true&keepThis=true&pr=BitcoinIntegration&pa=ZGV2ZWxvcGVyOjQ1MCx0ZXN0OjQ1MA=&am=OTAw&height=580&width=400
[Wed Oct 15 17:16:12.661350 2014] [:error] [pid 9472] [client 162.234.72.25:61559] You passed an empty string for 'card'. We assume empty values are an attempt to unset a parameter; however 'card' cannot be unset. You should remove 'card' from your request or supply a non-empty value, referer: http://thecoinsultants.com/?stripe-market-iframe=true&keepThis=true&pr=BitcoinIntegration&pa=ZGV2ZWxvcGVyOjQ1MCx0ZXN0OjQ1MA=&am=OTAw&height=580&width=400
[Wed Oct 15 17:17:56.583799 2014] [:error] [pid 9465] [client 162.234.72.25:61577] , referer: http://thecoinsultants.com/?stripe-market-iframe=true&keepThis=true&pr=BitcoinIntegration&pa=ZGV2ZWxvcGVyOjQ1MCx0ZXN0OjQ1MA=&am=OTAw&height=580&width=400
[Wed Oct 15 17:17:56.583861 2014] [:error] [pid 9465] [client 162.234.72.25:61577] No such customer: cus_4xr7WgjajhbzdQ, referer: http://thecoinsultants.com/?stripe-market-iframe=true&keepThis=true&pr=BitcoinIntegration&pa=ZGV2ZWxvcGVyOjQ1MCx0ZXN0OjQ1MA=&am=OTAw&height=580&width=400
[Wed Oct 15 17:17:57.020273 2014] [:error] [pid 9465] [client 162.234.72.25:61577] , referer: http://thecoinsultants.com/?stripe-market-iframe=true&keepThis=true&pr=BitcoinIntegration&pa=ZGV2ZWxvcGVyOjQ1MCx0ZXN0OjQ1MA=&am=OTAw&height=580&width=400
[Wed Oct 15 17:17:57.020324 2014] [:error] [pid 9465] [client 162.234.72.25:61577] You passed an empty string for 'card'. We assume empty values are an attempt to unset a parameter; however 'card' cannot be unset. You should remove 'card' from your request or supply a non-empty value, referer: http://thecoinsultants.com/?stripe-market-iframe=true&keepThis=true&pr=BitcoinIntegration&pa=ZGV2ZWxvcGVyOjQ1MCx0ZXN0OjQ1MA=&am=OTAw&height=580&width=400
[Wed Oct 15 17:18:38.574086 2014] [:error] [pid 9524] [client 162.234.72.25:61598] , referer: http://thecoinsultants.com/?stripe-market-iframe=true&keepThis=true&pr=BitcoinIntegration&pa=ZGV2ZWxvcGVyOjQ1MCx0ZXN0OjQ1MA=&am=OTAw&height=580&width=400
[Wed Oct 15 17:18:38.574146 2014] [:error] [pid 9524] [client 162.234.72.25:61598] No such customer: cus_4xr8XOrT0QTEct, referer: http://thecoinsultants.com/?stripe-market-iframe=true&keepThis=true&pr=BitcoinIntegration&pa=ZGV2ZWxvcGVyOjQ1MCx0ZXN0OjQ1MA=&am=OTAw&height=580&width=400
[Wed Oct 15 17:18:38.983316 2014] [:error] [pid 9524] [client 162.234.72.25:61598] , referer: http://thecoinsultants.com/?stripe-market-iframe=true&keepThis=true&pr=BitcoinIntegration&pa=ZGV2ZWxvcGVyOjQ1MCx0ZXN0OjQ1MA=&am=OTAw&height=580&width=400
[Wed Oct 15 17:18:38.983367 2014] [:error] [pid 9524] [client 162.234.72.25:61598] You passed an empty string for 'card'. We assume empty values are an attempt to unset a parameter; however 'card' cannot be unset. You should remove 'card' from your request or supply a non-empty value, referer: http://thecoinsultants.com/?stripe-market-iframe=true&keepThis=true&pr=BitcoinIntegration&pa=ZGV2ZWxvcGVyOjQ1MCx0ZXN0OjQ1MA=&am=OTAw&height=580&width=400
